"","X.1","X","text","scores"
"127",127,127,"Not surgical strike Its the nuclear button This is Modis Pokhran Kudos demonetization",0
"128",128,128,"And the Oscar goes to MrUDUEUUU edUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUADdemonetization",0
"129",129,129,"Amazing how videos showing ppl happy with demonetization end up as mobile forwards unhappy videos land on sardesairajdeep tl prestitutes",0
"130",130,130,"Rahul GandhiPM favours Rich peopleOfficeofRG who do u think Peons and sarkari babu are Demonetization",0
"131",131,131,"Demonetization modi ji just like your surveymrs clintonwas also winning the elections in all the surveys",0
"132",132,132,"Acid test for Modi and BJP Demonetization hits Indian life India banking SouthAsia",0
"133",133,133,"Cant say anything about Productivity but Creativity has increased after Demonetization",0
"134",134,134,"Acid test for Modi and BJP Demonetization hits Indian life India banking SouthAsia",0
"135",135,135,"Post the Indian currency Demonetization move BJP or Modi has garnered a huge base of Foes and Psychopaths",0
"136",136,136,"So this is what Demonetization has done aside killing overpeople
CashRush BlackMoney",0
"137",137,137,"Reduce the perks amp benefits of all MPs and MLAs bydemonetization",0
"138",138,138,"The only thing I have gained from Modis demonetization is one addiction to my Hindi vocabulary I now know the meaning of bewafa
India",0
"139",139,139,"ArvindKejriwalkindly bring your application for real survey on demonetization to know actual truth how unhappy people are",0
"140",140,140,"What is the impact of Demonetization on various sectors like Real Estate Consumption Banks
Read our views here",0
"141",141,141,"How will inflation and interest rates react to Demonetization 
Read our views here",0
"142",142,142,"muglikarSBI slashes bulk deposit term deposit rates drastically CASHualty of demonetization",0
"143",143,143,"Interesting results from narendramodi APP poll on DeMonetizationIt is still openPlease participate",0
"144",144,144,"Demonetization IndiaFightsCorruption Immense courage needed to take such a momentous decision arunjaitley narendramodi P…",0
"145",145,145,"The Modi app on DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hardship of the people",0
"146",146,146,"DemonetizationMythsBusted
Anyone dying withinkm radius of bank is coz of Demonetization and Modi is directly resp…",0
"147",147,147,"SriSriRavi Shankar roots for demonetizationhails PM narendramodi",0
"148",148,148,"Doltiwal I mean JaiChandKejriwal is hurt by Demonetization as the same has rendered USELESS edUAUBDedUBU acquired funds…",0
"149",149,149,"Heard someone saying Home loans will go down soon Demonetization may work there",0
"150",150,150,"People these days are practicing to get the tickets whenwill release by making queue in bank n ATMdemonetization…",0
"151",151,151,"Do you support the Oppositions agitation against demonetizationParticipate n d DNA poll amp see the results",0
"152",152,152,"OfficeOfRG u sayin inconvenience due to demonetization but ur govt destroying Karnataka by constructing steelbridgeNetaVilla",0
"153",153,153,"Today I sawblack money hoarders out ofcrore
standing in ques outside Parliament against
Demonetization",0
"154",154,154,"Congress a party which did nothing effective to stop farmers suicide in Maha under its watch now cries over demonetization deaths",0
"155",155,155,"DemonetizationCan we use Mobile to Mobile cash transfer as a mode of payment to ease cash crunch",0
"156",156,156,"Oppositions demand strike UUAUAUEUUUUU 
DeMonetization",0
"157",157,157,"SitaramYechury Continue with your rants against demonetization 
People of Bengal has answered you LOL Salaam",0
"158",158,158,"RT Hemant Did you vote on Demonetization on Modi survey app",0
"159",159,159,"really want to know who goofed up the atm calibrations bit of the planndemonetization",0
"160",160,160,"Delete Pathetic PM who conducts false poll and self praises himself demonetization BogusPoll…",0
"161",161,161,"",0
"162",162,162,"DeMonetizationSome thoughtsweeks over after thatPM speech Lines hv reduced at banks for exchange ATMs h…",0
"163",163,163,"Watch Somebody made a spoof video on demonetization with AeDilHaiMushkil trailer and its hilarious",0
"164",164,164,"Thousands of farmers took out a protest rally in Surat against demonetization
UUUU UFU UDUEUUCU UU UUB UUUU
AcheDin",0
"165",165,165,"suryanavinon how the current wave of Demonetization is the apt way towards digitization of the Indian economy",0
"166",166,166,"Thank You For Historic Participation Says PM Modi On Notes Ban Feedback",0
"167",167,167,"Demonetization sideeffect 
 WTF Philosophers
 Whatsapp Facebook Twitter",0
"168",168,168,"Quizzer quizderek on DeMonetization thenewshour says polls ansrd on Saradha n dont quote martyrs forgetting GhulamNabiAzad n Bypolls",0
"169",169,169,"Demonetization will be due from a thousand cutseach loophole that legalizes the old currency This isof them…",0
"170",170,170,"tillit was people Vs corrupt INCIndia led UPA etcnow after demonetization it is people Vs tax terrorist Govt of narendramodi",0
"171",171,171,"EXCLUSIVE Inside Paytm the firsthours after demonetization",0
"172",172,172,"This is a simple survey at my Facebook page This too shows mood of the nation on demonetization Modi has asked wrong questio…",0
"173",173,173,"novworkhrstand in queue forhrIAmWithModidemonization tughlakmodi demonetization",0
"174",174,174,"Spoke about demonetization in India and its impact on women with MarcoWerman pritheworld",0
